cod_depto,nombre_depto,cod_mpio,nombre_mpio,mesas_informadas_pct,votos_abelardo,votos_cepeda,votos_blanco,votos_nulos,tarjetones_no_marcados
29,TOLIMA,29089,PLANADAS,100%,7161,4935,240,149,48
13,CORDOBA,13028,PLANETA RICA,100%,13834,18347,317,224,46
21,MAGDALENA,21052,PLATO,100%,9934,14214,199,118,38
23,NARIÑO,23098,POLICARPA,100%,470,9012,102,147,6
88,CONSULADOS,88675,POLONIA,100%,342,694,14,3,0
03,ATLANTICO,03034,POLONUEVO,100%,2610,7171,46,37,13
03,ATLANTICO,03035,PONEDERA,100%,5111,6437,78,49,18
11,CAUCA,11001,POPAYAN,100%,66470,128296,3196,2170,213
46,CASANARE,46700,PORE,100%,4738,1115,71,46,12
88,CONSULADOS,88680,PORTUGAL,100%,1440,1620,69,7,0
23,NARIÑO,23100,POTOSI,100%,2216,4520,59,33,11
31,VALLE,31082,PRADERA,100%,6130,19477,270,243,39
29,TOLIMA,29091,PRADO,100%,3351,1381,38,32,13
23,NARIÑO,23101,PROVIDENCIA,100%,358,3535,28,22,5
56,SAN ANDRES,56004,PROVIDENCIA,100%,708,1088,47,5,1
13,CORDOBA,13031,PUEBLO NUEVO,100%,8442,8602,168,75,21
12,CESAR,12720,PUEBLO BELLO,100%,4782,8345,122,96,58
24,RISARALDA,24070,PUEBLO RICO,100%,2066,5303,67,53,29
01,ANTIOQUIA,01202,PUEBLORRICO,100%,3350,760,48,17,17
21,MAGDALENA,21055,PUEBLOVIEJO,100%,3769,7164,94,95,20
27,SANTANDER,27166,PUENTE NACIONAL,100%,5874,2973,112,77,11
23,NARIÑO,23103,PUERRES,100%,1533,3852,52,29,7
60,AMAZONAS,60030,PUERTO ALEGRIA,100%,20,108,0,1,0
60,AMAZONAS,60040,PUERTO ARICA,100%,22,177,0,0,0
64,PUTUMAYO,64002,PUERTO ASIS,100%,6948,25950,570,478,68
01,ANTIOQUIA,01205,PUERTO BERRIO,100%,9100,7237,312,187,39
07,BOYACA,07214,PUERTO BOYACA,100%,14527,10046,360,581,47
64,PUTUMAYO,64026,PUERTO CAICEDO,100%,1314,5785,158,130,27
72,VICHADA,72001,PUERTO CARREÑO,100%,5564,3734,136,89,36
03,ATLANTICO,03037,PUERTO COLOMBIA,100%,9728,15357,213,66,11
50,GUAINIA,50090,PUERTO COLOMBIA,100%,208,130,0,2,1
52,META,52047,PUERTO CONCORDIA,100%,2288,1904,61,67,11
13,CORDOBA,13033,PUERTO ESCONDIDO,100%,6119,5444,64,27,11
52,META,52043,PUERTO GAITAN,100%,15843,18419,547,881,66
64,PUTUMAYO,64025,PUERTO GUZMAN,100%,1810,5473,126,85,15
13,CORDOBA,13032,PUERTO LIBERTADOR,100%,4804,14208,293,100,40
64,PUTUMAYO,64004,PUERTO LEGUIZAMO,100%,2398,4068,89,61,26
52,META,52048,PUERTO LLERAS,100%,2808,1431,45,43,3
52,META,52045,PUERTO LOPEZ,100%,10480,6175,220,257,28
01,ANTIOQUIA,01168,PUERTO NARE-LA MAGDALENA,100%,3302,3299,79,57,13
60,AMAZONAS,60007,PUERTO NARIÑO,100%,649,2139,29,14,20
44,CAQUETA,44009,PUERTO RICO,100%,6455,6304,424,184,61
27,SANTANDER,27167,PUERTO PARRA,100%,2201,1443,45,43,9
52,META,52049,PUERTO RICO,100%,2696,3035,98,106,14
40,ARAUCA,40020,PUERTO RONDON,100%,1534,305,26,8,4
88,CONSULADOS,88683,PUERTO RICO,100%,850,351,15,3,1
15,CUNDINAMARCA,15202,PUERTO SALGAR,100%,4421,3342,94,103,10
25,NORTE DE SAN,25069,PUERTO SANTANDER,100%,3568,560,33,21,6
60,AMAZONAS,60021,PUERTO SANTANDER,100%,40,158,2,0,1
11,CAUCA,11064,PUERTO TEJADA,100%,3063,20345,232,229,17
27,SANTANDER,27169,PUERTO WILCHES,100%,6722,10288,149,138,32
15,CUNDINAMARCA,15205,PULI,100%,1161,421,16,6,5
01,ANTIOQUIA,01206,PUERTO TRIUNFO,100%,6025,2523,110,66,21
23,NARIÑO,23106,PUPIALES,100%,4223,6708,138,135,19
11,CAUCA,11067,PURACE (COCONUCO),100%,1724,5077,72,55,26
29,TOLIMA,29094,PURIFICACION,100%,7213,5979,141,115,21
15,CUNDINAMARCA,15208,QUEBRADANEGRA,100%,2742,492,41,20,7
13,CORDOBA,13034,PURISIMA,100%,5020,3766,70,37,19
26,QUINDIO,26080,QUIMBAYA,100%,9727,7233,295,260,58
17,CHOCO,17001,QUIBDO,100%,8423,39917,542,664,269
15,CUNDINAMARCA,15211,QUETAME,100%,2827,1487,47,37,4
24,RISARALDA,24078,QUINCHIA,100%,5096,7940,299,311,64
07,BOYACA,07215,QUIPAMA,100%,2236,544,21,28,4
15,CUNDINAMARCA,15214,QUIPILE,100%,3230,770,39,21,17
25,NORTE DE SAN,25070,RAGONVALIA,100%,2971,217,26,16,3
07,BOYACA,07217,RAMIRIQUI,100%,4634,1936,88,47,7
07,BOYACA,07220,RAQUIRA,100%,2884,1151,68,47,3
46,CASANARE,46760,RECETOR,100%,664,248,11,5,1
01,ANTIOQUIA,01208,REMEDIOS,100%,4312,6285,469,211,138
05,BOLIVAR,05063,REGIDOR,100%,1362,1639,20,7,5
21,MAGDALENA,21058,REMOLINO,100%,1456,3015,29,22,3
03,ATLANTICO,03040,REPELON,100%,5447,6553,106,53,27
88,CONSULADOS,88370,REPUBLICA DE FILIPINAS,100%,54,43,5,0,0
88,CONSULADOS,88685,REPUBLICA DOMINICANA,100%,1690,421,32,0,0
88,CONSULADOS,88688,REPUBLICA DE SINGAPUR,100%,136,53,11,0,0
88,CONSULADOS,88690,REPUBLICA SOCIALISTA DE VIETNA,100%,14,26,1,0,0
31,VALLE,31085,RESTREPO,100%,4459,4502,116,107,19
52,META,52050,RESTREPO,100%,8467,3992,182,72,8
01,ANTIOQUIA,01211,RETIRO,100%,14610,3019,333,77,20
23,NARIÑO,23109,RICAURTE,100%,1567,10043,81,70,56
15,CUNDINAMARCA,15218,RICAURTE,100%,5352,3325,104,73,4
12,CESAR,12750,RIO DE ORO,100%,7045,3310,128,69,9
17,CHOCO,17032,RIO IRO,100%,458,1484,14,55,3
17,CHOCO,17035,RIO QUITO (PAIMADO),100%,957,3498,25,72,15
29,TOLIMA,29097,RIOBLANCO,100%,5425,2474,145,78,32
31,VALLE,31088,RIOFRIO,100%,4718,4175,125,87,16
48,LA GUAJIRA,48001,RIOHACHA,100%,32776,50857,1084,667,155
01,ANTIOQUIA,01214,RIONEGRO,100%,74165,24993,2126,976,68
27,SANTANDER,27172,RIONEGRO,100%,11719,3554,237,164,29
09,CALDAS,09103,RIOSUCIO,100%,13483,12182,512,560,64
17,CHOCO,17034,RIOSUCIO,100%,1025,6393,41,57,9
05,BOLIVAR,05065,RIOVIEJO,100%,2249,1702,40,16,7
09,CALDAS,09106,RISARALDA,100%,4096,1593,106,88,25
19,HUILA,19064,RIVERA,100%,7728,6017,192,137,12
23,NARIÑO,23112,ROBERTO PAYAN (SAN JOSE),100%,120,6464,26,16,1
31,VALLE,31091,ROLDANILLO,100%,11289,8987,294,205,17
29,TOLIMA,29100,RONCESVALLES,100%,1658,453,32,19,4
07,BOYACA,07223,RONDON,100%,1188,354,19,7,0
29,TOLIMA,29103,ROVIRA,100%,8624,2632,149,109,25
